iter	Passed	Remaining
434	1654	2149
435	1655	2141
436	1660	2139
437	1662	2132
438	1663	2125
439	1664	2119
440	1666	2112
441	1667	2105
442	1669	2098
443	1670	2092
444	1677	2092
445	1679	2085
446	1680	2079
447	1681	2072
448	1683	2065
449	1685	2059
450	1689	2056
451	1691	2050
452	1692	2043
453	1693	2037
454	1695	2030
455	1696	2023
456	1697	2017
457	1699	2010
458	1700	2004
459	1708	2006
460	1710	1999
461	1711	1993
462	1713	1986
463	1714	1980
464	1715	1974
465	1719	1970
466	1721	1965
467	1723	1959
468	1725	1953
469	1728	1948
470	1729	1942
471	1730	1936
472	1735	1933
473	1736	1927
474	1737	1920
475	1739	1914
476	1740	1908
477	1741	1901
478	1742	1895
479	1744	1889
480	1745	1883
481	1750	1880
482	1751	1874
483	1752	1868
484	1754	1862
485	1755	1856
486	1756	1850
487	1758	1844
488	1759	1838
489	1760	1832
490	1765	1830
491	1766	1824
492	1768	1818
493	1769	1812
494	1770	1806
495	1772	1800
496	1773	1795
497	1775	1789
498	1776	1783
499	1780	1780
500	1782	1775
501	1783	1769
502	1784	1763
503	1786	1757
504	1787	1751
505	1788	1746
506	1790	1740
507	1791	1734
508	1796	1732
509	1797	1726
510	1798	1721
511	1799	1715
512	1801	1709
513	1802	1704
514	1804	1698
515	1805	1693
516	1809	1690
517	1811	1685
518	1813	1680
519	1815	1675
520	1817	1671
521	1819	1665
522	1820	1660
523	1824	1657
524	1826	1652
525	1827	1646
526	1828	1641
527	1830	1635
528	1831	1630
529	1832	1625
530	1834	1619
531	1835	1614
532	1839	1611
533	1840	1606
534	1841	1600
535	1843	1595
536	1844	1590
537	1845	1584
538	1847	1579
539	1848	1574
540	1849	1569
541	1853	1566
542	1855	1561
543	1856	1556
544	1857	1551
545	1859	1545
546	1860	1540
547	1861	1535
548	1863	1530
549	1864	1525
550	1868	1522
551	1870	1518
552	1871	1512
553	1873	1507
554	1874	1502
555	1878	1499
556	1885	1499
557	1886	1494
558	1887	1489
559	1888	1484
560	1890	1479
561	1891	1474
562	1893	1469
563	1894	1464
564	1895	1459
565	1900	1457
566	1902	1452
567	1903	1447
568	1905	1443
569	1906	1438
570	1907	1433
571	1908	1428
572	1910	1423
573	1914	1420
574	1916	1416
575	1918	1412
576	1920	1407
577	1922	1403
578	1924	1399
579	1926	1394
580	1930	1392
581	1932	1387
582	1933	1382
583	1934	1378
584	1936	1373
585	1937	1368
586	1938	1364
587	1940	1359
588	1941	1354
589	1946	1352
590	1947	1347
591	1948	1343
592	1950	1338
593	1951	1333
594	1952	1329
595	1953	1324
596	1955	1319
597	1956	1315
598	1960	1312
599	1962	1308
600	1963	1303
601	1964	1299
602	1966	1294
603	1967	1289
604	1968	1285
605	1969	1280
606	1971	1276
607	1976	1274
608	1977	1269
609	1979	1265
610	1980	1260
611	1981	1256
612	1983	1251
613	1984	1247
614	1985	1243
615	1990	1240
616	1992	1236
617	1995	1233
618	1997	1229
619	1999	1225
620	2000	1220
621	2001	1216
622	2003	1212
623	2005	1208
624	2007	1204
625	2010	1201
626	2012	1197
627	2017	1195
628	2018	1190
629	2020	1186
630	2021	1182
631	2022	1177
632	2023	1173
633	2025	1169
634	2026	1164
635	2027	1160
636	2032	1158
637	2033	1153
638	2035	1149
639	2036	1145
640	2038	1141
641	2040	1137
642	2041	1133
643	2047	1131
644	2049	1127
645	2051	1124
646	2055	1121
647	2057	1117
648	2062	1115
649	2063	1111
650	2065	1107
651	2067	1103
652	2069	1099
653	2071	1095
654	2073	1091
655	2079	1090
656	2082	1087
657	2083	1083
658	2085	1078
659	2086	1074
660	2087	1070
661	2092	1068
662	2094	1064
663	2095	1060
664	2096	1056
665	2097	1052
666	2099	1048
667	2100	1043
668	2101	1039
669	2103	1035
670	2108	1033
671	2110	1030
672	2112	1026
673	2115	1023
674	2116	1019
675	2118	1015
676	2122	1012
677	2124	1008
678	2125	1004
679	2126	1000
680	2128	996
681	2129	992
682	2130	988
683	2131	984
684	2133	981
685	2138	978
686	2139	974
687	2141	970
688	2142	966
689	2143	963
690	2144	959
691	2146	955
692	2147	951
693	2148	947
694	2153	945
695	2154	941
696	2156	937
697	2157	933
698	2158	929
699	2159	925
700	2161	921
701	2162	918
702	2164	914
703	2168	911
704	2169	908
705	2171	904
706	2172	900
707	2173	896
708	2175	892
709	2176	889
710	2178	885
711	2179	881
712	2180	877
713	2182	874
714	2183	870
715	2184	866
716	2186	862
717	2187	859
718	2189	855
719	2190	851
720	2194	849
721	2196	845
722	2198	842
723	2200	838
724	2202	835
725	2203	831
726	2205	828
727	2209	825
728	2210	821
729	2212	818
730	2213	814
731	2214	810
732	2216	807
733	2218	803
734	2220	800
735	2221	796
736	2223	793
737	2224	789
738	2225	786
739	2227	782
740	2229	779
741	2230	775
742	2231	771
743	2233	768
744	2237	765
745	2239	762
746	2240	758
747	2241	755
748	2244	752
749	2248	749
750	2253	747
751	2254	743
752	2256	740
753	2257	736
754	2259	733
755	2260	729
756	2261	726
757	2263	722
758	2264	718
759	2265	715
760	2267	712
761	2268	708
762	2270	705
763	2271	701
764	2272	698
765	2274	694
766	2275	691
767	2279	688
768	2281	685
769	2283	681
770	2284	678
771	2285	675
772	2287	671
773	2288	668
774	2289	664
775	2291	661
776	2295	658
777	2297	655
778	2299	652
779	2302	649
780	2304	646
781	2305	642
782	2311	640
783	2312	637
784	2314	633
785	2315	630
786	2316	626
787	2317	623
788	2319	620
789	2320	616
790	2321	613
791	2326	610
792	2327	607
793	2328	604
794	2330	600
795	2331	597
796	2332	594
797	2334	590
798	2335	587
799	2336	584
800	2341	581
801	2343	578
802	2344	575
803	2345	571
804	2347	568
805	2348	565
806	2350	562
807	2351	558
808	2356	556
809	2358	553
810	2359	549
811	2361	546
812	2363	543
813	2364	540
814	2366	537
815	2368	534
816	2369	530
817	2371	527
818	2372	524
819	2374	521
820	2375	517
821	2376	514
822	2381	512
823	2383	509
824	2385	505
825	2386	502
826	2389	499
827	2391	496
828	2396	494
829	2398	491
830	2400	488
831	2401	484
832	2403	481
833	2404	478
834	2406	475
835	2411	473
836	2412	469
837	2414	466
838	2415	463
839	2416	460
840	2417	457
841	2419	453
842	2420	450
843	2421	447
844	2426	445
845	2427	441
846	2429	438
847	2430	435
848	2431	432
849	2433	429
850	2434	426
851	2435	423
852	2437	420
853	2441	417
854	2443	414
855	2444	411
856	2445	408
857	2447	405
858	2448	401
859	2449	398
860	2451	395
861	2455	393
862	2456	390
863	2458	386
864	2459	383
865	2460	380
866	2461	377
867	2463	374
868	2464	371
869	2466	368
870	2471	366
871	2473	363
872	2475	360
873	2478	357
874	2479	354
875	2480	351
876	2482	348
877	2487	345
878	2488	342
879	2489	339
880	2490	336
881	2492	333
882	2493	330
883	2495	327
884	2496	324
885	2501	321
886	2502	318
887	2504	315
888	2505	312
889	2506	309
890	2507	306
891	2509	303
892	2511	300
893	2512	297
894	2518	295
895	2520	292
896	2521	289
897	2523	286
898	2524	283
899	2525	280
900	2527	277
901	2531	275
902	2533	272
903	2534	269
904	2535	266
905	2536	263
906	2538	260
907	2539	257
908	2540	254
909	2542	251
910	2547	248
911	2548	245
912	2549	242
913	2550	240
914	2552	237
915	2553	234
916	2554	231
917	2556	228
918	2557	225
919	2562	222
920	2563	219
921	2565	217
922	2566	214
923	2568	211
924	2569	208
925	2570	205
926	2572	202
927	2577	199
928	2579	197
929	2580	194
930	2583	191
931	2585	188
932	2586	185
933	2587	182
934	2592	180
935	2593	177
936	2595	174
937	2596	171
938	2597	168
939	2599	165
940	2600	163
941	2601	160
942	2605	157
943	2607	154
944	2608	151
945	2609	148
946	2611	146
947	2612	143
948	2614	140
949	2615	137
950	2616	134
951	2621	132
952	2622	129
953	2623	126
954	2627	123
955	2630	121
956	2632	118
957	2636	115
958	2637	112
959	2639	109
960	2640	107
961	2641	104
962	2643	101
963	2644	98
964	2645	95
965	2646	93
966	2651	90
967	2653	87
968	2655	84
969	2656	82
970	2657	79
971	2658	76
972	2660	73
973	2661	71
974	2662	68
975	2667	65
976	2670	62
977	2671	60
978	2675	57
979	2676	54
980	2677	51
981	2682	49
982	2683	46
983	2685	43
984	2686	40
985	2687	38
986	2689	35
987	2691	32
988	2692	29
989	2697	27
990	2698	24
991	2700	21
992	2701	19
993	2702	16
994	2703	13
995	2705	10
996	2707	8
997	2712	5
998	2713	2
999	2714	0
